index,millisecond,imageBound_x,imageBound_y,imageBound_width,imageBound_height,center_x,center_y,imagePoint_x,imagePoint_y,zoom,interval
424,126736,890,331,127,74,954,368,974,378,6.52626701466349,173
425,126931,874,321,152,89,950,366,974,378,6.52626701466349,195
426,127124,874,321,152,89,950,366,974,379,5.44352795246601,193
427,127323,854,310,182,106,945,363,974,378,5.44352795246601,199
428,127516,854,310,182,106,945,363,974,379,4.56647070035491,193
429,127786,829,296,219,128,939,360,973,378,4.56647070035491,270
430,127961,829,296,219,128,939,360,974,377,3.773746323056,175
431,128198,829,296,219,128,939,360,974,377,3.773746323056,237
432,128369,801,280,262,153,932,357,974,377,3.14336505103278,171
433,128568,801,280,262,153,932,357,974,378,3.14336505103278,199
434,128755,766,260,315,184,924,352,974,378,2.62761939357724,187
435,128940,766,260,315,184,924,352,974,379,2.62761939357724,185
436,129176,724,237,378,220,913,347,974,379,2.13165460537385,236
437,129393,724,237,378,220,913,347,974,379,2.13165460537385,217
438,129584,674,208,453,264,901,340,974,379,1.91906423516045,191
439,129761,614,174,544,317,886,333,974,379,2.30032756638836,177
440,129951,674,208,453,264,901,340,975,380,2.30032756638836,190
441,130123,674,208,453,264,901,340,973,382,2.75288934173542,172
442,130346,724,237,378,220,913,347,975,380,2.75288934173542,223
443,130518,724,237,378,220,913,347,972,381,3.20932332126179,172
444,130792,766,261,315,184,924,353,974,382,3.20932332126179,274
445,130964,766,261,315,184,924,353,972,381,3.15392073242155,172
446,131149,766,261,315,184,924,353,972,382,2.75177372927661,185
447,131351,724,237,378,220,913,347,972,381,2.75177372927661,202
448,131529,724,237,378,220,913,347,973,383,3.22486272,178
449,131720,766,261,315,184,924,353,973,383,3.22486272,191
450,132601,766,261,315,184,924,353,969,370,3.22486272,881
451,132783,704,262,315,184,862,354,969,370,3.24815070549069,182
452,132988,704,262,315,184,862,354,961,371,3.29308786494067,205
453,133204,704,262,315,184,862,354,974,369,3.97765024451742,216
454,133400,704,262,315,184,862,354,937,364,3.97765024451742,196
455,133577,743,279,262,153,874,356,929,364,4.71784742873074,177
456,133760,711,291,219,128,821,355,903,364,4.71784742873074,183
457,134028,711,291,219,128,821,355,864,362,5.67080534590234,268
458,134313,736,302,182,106,827,355,895,361,5.67080534590234,285
459,134482,736,302,182,106,827,355,863,361,6.86703730548088,169
460,134695,757,312,152,89,833,357,870,361,6.86703730548088,213
461,134867,757,312,152,89,833,357,864,361,8.23225075404856,172
462,135067,757,312,152,89,833,357,863,362,8.23225075404856,200
463,135234,775,321,127,74,839,358,863,362,9.75963483991791,167
464,135544,775,321,127,74,839,358,863,361,9.75963483991791,310
465,135730,790,327,105,62,843,358,863,362,11.5552661809398,186
466,135910,790,327,105,62,843,358,862,361,11.5552661809398,180
467,136101,802,333,88,51,846,359,862,361,11.5552661809398,191
468,136421,802,333,88,51,846,359,860,361,11.5552661809398,320
469,136615,802,333,88,51,846,359,848,365,11.5552661809398,194
470,137137,802,333,88,51,846,359,847,366,11.5552661809398,522
471,137460,774,334,88,51,818,360,847,366,11.5552661809398,323
472,137645,774,334,88,51,818,360,847,366,11.5479331327607,185
473,137835,774,334,88,51,818,360,841,365,11.5286232856176,190
474,138025,774,334,88,51,818,360,831,362,11.4728751955846,190
475,138247,774,334,88,51,818,360,831,363,11.3064700215993,222
476,138451,774,334,88,51,818,360,834,363,9.3458095282411,204
477,138644,774,334,88,51,818,360,833,363,9.3458095282411,193
478,138809,762,328,105,62,815,359,833,363,7.87811072893026,165
479,139026,748,321,127,74,812,358,834,363,7.87811072893026,217
480,139228,748,321,127,74,812,358,835,364,6.50848461593899,202
481,139460,730,313,152,89,806,358,833,361,6.50848461593899,232
482,139627,730,313,152,89,806,358,831,363,5.41639142544423,167
483,139811,710,303,182,106,801,356,833,361,5.41639142544423,184
484,139985,710,303,182,106,801,356,833,366,4.54493229465115,174
485,140201,685,290,219,128,795,354,832,361,4.54493229465115,216
486,140402,685,290,219,128,795,354,834,367,3.7648713084065,201
487,140603,656,275,262,153,787,352,836,368,3.7648713084065,201
488,140784,656,275,262,153,787,352,830,368,3.13134973673521,181
489,140971,621,256,315,184,779,348,832,363,3.13134973673521,187
490,141137,621,256,315,184,779,348,830,369,2.62922274483435,166
491,141324,579,234,378,220,768,344,831,361,2.62922274483435,187
492,141550,579,234,378,220,768,344,827,378,2.17870007098151,226
493,141754,529,205,453,264,756,337,837,365,2.17870007098151,204
494,141919,529,205,453,264,756,337,818,377,1.8263384616511,165
495,142106,471,171,544,317,743,330,832,364,1.8263384616511,187
496,142308,471,171,544,317,743,330,818,376,1.51860313983901,202
497,142530,402,130,653,381,729,321,838,363,1.51860313983901,222
498,142711,402,130,653,381,729,321,818,371,1.29722977262533,181
499,142894,319,81,784,457,711,310,818,379,1.29722977262533,183
500,143093,319,81,784,457,711,310,817,365,1.30000240596961,199
501,143276,319,81,784,457,711,310,831,359,1.30832292973393,183
502,143459,319,81,784,457,711,310,837,358,1.33089296264486,183
503,143652,319,81,784,457,711,310,834,371,1.57129572928095,193
504,143913,405,130,653,381,732,321,827,366,1.57129572928095,261
505,144179,405,130,653,381,732,321,833,371,1.86624,266
506,144410,476,170,544,317,748,329,834,371,1.86624,231
507,145060,476,170,544,317,748,329,846,360,1.86624,650
508,145239,452,114,544,317,724,273,846,360,1.86624,179
509,145452,452,114,544,317,724,273,847,360,1.86624,213
510,145636,452,114,544,317,724,273,874,358,1.86624,184
511,145836,452,114,544,317,724,273,873,353,1.86624,200
512,146083,452,114,544,317,724,273,883,333,1.86624,247
513,146301,452,114,544,317,724,273,877,308,1.86624,218
514,146523,452,114,544,317,724,273,829,187,1.86624,222
515,146691,368,-28,544,317,640,131,830,187,1.86624,168
516,146883,368,-28,544,317,640,131,832,188,1.86624,192
517,147125,368,-28,544,317,640,131,848,152,1.86624,242
518,147299,368,-28,544,317,640,131,886,139,1.86624,174
519,147475,368,-28,544,317,640,131,885,139,1.86624,176
520,147650,368,-28,544,317,640,131,525,223,1.86624,175
521,147816,368,-28,544,317,640,131,376,278,1.86624,166
522,148035,368,-28,544,317,640,131,376,278,1.86624,219
523,148235,368,-28,544,317,640,131,383,274,1.86624,200
524,148411,368,-28,544,317,640,131,390,259,1.86624,176
525,148578,368,-28,544,317,640,131,426,193,1.86624,167
526,148751,368,-28,544,317,640,131,426,191,1.86624,173
527,148947,368,-28,544,317,640,131,426,190,1.86624,196
528,149179,368,-28,544,317,640,131,426,189,1.86624,232
529,149387,368,-28,544,317,640,131,424,187,1.86624,208
530,149562,368,-28,544,317,640,131,431,178,1.86624,175
531,149738,368,-28,544,317,640,131,435,173,1.86624,176
532,149933,368,-28,544,317,640,131,444,166,1.86624,195
533,150143,368,-28,544,317,640,131,462,151,1.86624,210
534,150337,368,-28,544,317,640,131,487,127,1.86624,194
535,150532,368,-28,544,317,640,131,511,101,1.86624,195
536,150725,368,-28,544,317,640,131,548,90,1.86624,193
537,150900,368,-28,544,317,640,131,561,71,1.86624,175
538,151077,368,-28,544,317,640,131,582,55,1.86624,177
539,151261,368,-28,544,317,640,131,604,50,1.86624,184
540,151466,368,-28,544,317,640,131,626,49,1.86624,205
541,151663,368,-28,544,317,640,131,645,52,1.86624,197
542,151844,368,-28,544,317,640,131,666,52,1.86624,181
543,152025,368,-28,544,317,640,131,694,52,1.86624,181
544,152210,368,-28,544,317,640,131,712,53,1.86624,185
545,152390,368,-28,544,317,640,131,743,54,1.86624,180
546,152657,368,-28,544,317,640,131,755,64,1.86624,267
547,152830,368,-28,544,317,640,131,759,81,1.86624,173
548,152996,368,-28,544,317,640,131,760,81,1.86624,166
549,153165,368,-28,544,317,640,131,764,81,1.86624,169
550,153332,368,-28,544,317,640,131,759,81,1.86624,167
551,153535,368,-28,544,317,640,131,758,78,1.86624,203
552,153701,368,-28,544,317,640,131,756,42,1.86624,166
553,153879,368,-28,544,317,640,131,730,21,1.86624,178
554,154053,368,-28,544,317,640,131,409,256,1.86624,174
